mac,kwhh
MAC000622,6399.6120005
MAC000623,4795.593
MAC000624,5135.0109999
MAC000625,10058.7709996
MAC000626,2155.1489999
MAC000627,6950.184
MAC000628,11923.0409991
MAC000629,10069.8850002
MAC000630,10974.5409988
MAC000631,1839.804
MAC000632,9449.5099996
MAC000633,7482.0640021
MAC000634,2463.6179999
MAC000635,6271.8129983
MAC000636,938.7850001
MAC000637,2182.392
MAC000638,6992.6960013
MAC000639,5808.8440001
MAC000640,4864.7389993
MAC000641,17179.9889966
MAC000642,10608.356001
MAC000643,7192.969
MAC000644,7905.6850005
MAC000645,2806.1980001
MAC000646,6778.6839998
MAC000647,7688.6800004
MAC000648,4078.1929997
MAC000649,3761.6430001
MAC000650,10932.734998
MAC000651,2207.8649999
MAC000652,969.03
MAC000653,1964.004
MAC000654,10670.0229991
MAC000655,4211.659
MAC000656,11968.2669995
MAC000657,4201.23
MAC000658,4876.6670002
MAC000659,6679.6130014
MAC000660,3792.4750002
MAC000661,13526.511998
MAC000662,3768.6379994
MAC000663,5423.3389993
MAC000664,11238.1979988
MAC000665,1372.222
MAC000666,1873.8189998
MAC000667,2425.243
MAC000668,7529.9469986
MAC000669,11319.6959989
MAC000670,7950.8529966
MAC000671,6802.0340001
MAC000672,5365.0840001
MAC000673,10193.6899991
MAC000674,5263.127
MAC000675,4658.5260005
MAC000676,5569.611
MAC000677,3063.2700001
MAC000678,5832.6289984
MAC000679,6331.3250003
MAC000680,3267.645
MAC000681,8922.5060001
MAC000682,10331.9090011
MAC000683,4975.6199999
MAC000684,3136.859
MAC000685,3747.6019996
MAC000686,9787.959997
MAC000687,6193.5590001
MAC000688,6752.5149994
MAC000689,9495.9950011
MAC000690,5511.9890006
MAC000691,2850.307
MAC000692,12908.4419986
MAC000693,23534.6839975
MAC000694,5579.2899999
MAC000695,1317.56
MAC000696,4936.9719996
MAC000697,22009.0579999
MAC000698,4631.0869997
MAC000699,4621.5080002
MAC000700,1295.0539998
MAC000701,2876.5659999
MAC000702,3868.4280001
MAC000703,8182.6869995
MAC000704,1945.695
MAC000705,2946.053
MAC000706,7750.7689995
MAC000707,6918.4790002
MAC000708,5274.0659997
MAC000709,7523.7169987
MAC000710,4041.764
MAC000711,8462.3949999
MAC000712,2725.2500001
MAC000713,8079.2179993
MAC000714,2609.2380003
MAC000715,14097.0039943
MAC000716,4976.4770011
MAC000717,2921.5460004
MAC000718,10827.603999
MAC000719,2429.1939997
MAC000720,10172.4689973
MAC000721,7351.9940001
MAC000722,3240.375
MAC000723,4272.1689993
MAC000724,7758.1129985
MAC000725,6111.1630001
MAC000726,6992.7810004
MAC000727,4901.7309999
MAC000728,9479.996001
MAC000729,5523.9219999
MAC000730,11448.1340012
MAC000731,2862.459
MAC000732,2965.5229999
MAC000733,3488.21
MAC000734,5705.3840001
MAC000735,2712.9369999
MAC000736,8403.1409994
MAC000737,11176.1599994
MAC000738,3611.51
MAC000739,2605.0849999
MAC000740,5357.9980002
MAC000741,2543.9970004
MAC000742,6120.0850001
MAC000743,9194.7330002
MAC000744,4473.159999
MAC000745,1052.6270008
MAC000746,4920.8179999
MAC000747,5919.3169999
MAC000748,3903.5120003
MAC000749,10659.9379993
MAC000750,7774.2719979
MAC000751,1742.1370001
MAC000752,1675.6570001
MAC000753,5805.6379986
MAC000754,6607.6610013
MAC000755,11675.6229995
MAC000756,5821.024
MAC000757,2818.2140001
MAC000758,2383.6429998
MAC000759,2712.8190001
MAC000760,2163.5949999
MAC000761,5191.8220005
MAC000762,2446.2009997
MAC000763,4696.8979998
MAC000764,3235.166
MAC000765,6506.0649995
MAC000766,4786.3469998
MAC000767,3220.4989986
MAC000768,7863.5989992
MAC000769,1750.6289998
MAC000770,1585.4730006
MAC000771,4076.4480001
MAC000772,3977.6799995
MAC000773,4176.667
MAC000774,4590.3760005
MAC000775,7975.3129994
MAC000776,2961.214
MAC000777,3024.2479998
MAC000778,13256.583002
MAC000779,2450.7799994
MAC000780,16302.8629997
MAC000781,4302.3160006
MAC000782,4342.8909995
MAC000783,4052.0720006
MAC000784,10934.2409999
MAC000785,10869.8120002
MAC000786,4877.4099998
MAC000787,8629.4120008
MAC000788,3870.3219999
MAC000789,4291.3340001
MAC000790,1767.707
MAC000791,8764.3610036
MAC000792,6782.76
MAC000793,3208.4689998
MAC000794,7335.7949996
MAC000795,7154.7169991
MAC000796,1239.0820001
MAC000797,7393.6010001
MAC000798,2951.639
MAC000799,6584.4300013
MAC000800,5567.448002
MAC000801,9103.6819992
MAC000802,9634.2109992
MAC000803,6823.1279992
MAC000804,4055.9240003
MAC000805,2990.4569997
MAC000806,11923.7060016
MAC000807,5925.7829999
MAC000808,10701.334001
MAC000809,2251.8229999
MAC000810,3557.4540005
MAC000811,11999.7270011
MAC000812,4196.6460002
MAC000813,1476.745
MAC000814,4490.9119994
MAC000815,5554.6339993
MAC000816,3784.4660002
MAC000817,9528.8700018
MAC000818,2793.6989999
MAC000819,2577.8410002
MAC000820,4980.6240011
MAC000821,4317.2829999
MAC000822,4509.5219997
